iter	RMSE
159	1.882352055
160	1.882326608
161	1.882293005
162	1.882250729
163	1.882226064
164	1.882198946
165	1.882160934
166	1.88212246
167	1.882103686
168	1.882067595
169	1.882036783
170	1.882008289
171	1.881977597
172	1.881929375
173	1.881902283
174	1.881862044
175	1.881825513
176	1.881802235
177	1.881757985
178	1.881733224
179	1.881688578
180	1.881654698
181	1.881634843
182	1.881599489
183	1.88157206
184	1.881533052
185	1.881507765
186	1.881470658
187	1.881431333
188	1.881397938
189	1.881370013
190	1.881343658
191	1.881308051
192	1.881277838
193	1.881259372
194	1.881239322
195	1.881218087
196	1.881185607
197	1.881169981
198	1.881138224
199	1.881091951
200	1.881064139
201	1.881032144
202	1.881001015
203	1.880981014
204	1.880947316
205	1.880926898
206	1.880907918
207	1.880882504
208	1.880872819
209	1.880839442
210	1.880814678
211	1.880784783
212	1.880758849
213	1.88073027
214	1.880714097
215	1.880690358
216	1.880662075
217	1.880630582
218	1.880596524
219	1.880560296
220	1.880535954
221	1.880511123
222	1.880487255
223	1.880464014
224	1.88043022
225	1.88040508
226	1.880383846
227	1.880362733
228	1.880344487
229	1.880325236
230	1.880304153
231	1.880281533
232	1.880254047
233	1.880232782
234	1.880209914
235	1.880192977
236	1.880156255
237	1.880136991
238	1.880108674
239	1.880079714
240	1.88005555
241	1.880033863
242	1.880004481
243	1.879988659
244	1.87996344
245	1.879926097
246	1.879898002
247	1.879863276
248	1.87982876
249	1.879798683
250	1.87977929
251	1.879756748
252	1.879724121
253	1.879686126
254	1.87965489
255	1.87963624
256	1.879627972
257	1.879603754
258	1.879581423
259	1.879569257
260	1.879555549
261	1.879526707
262	1.879506029
263	1.879491603
264	1.879469027
265	1.879448306
266	1.879426708
267	1.879400746
268	1.879375854
269	1.879362085
270	1.879330385
271	1.879302527
272	1.879273277
273	1.879240027
274	1.879208691
275	1.87918161
276	1.879161057
277	1.879139862
278	1.879112562
279	1.879071007
280	1.87905355
281	1.879029909
282	1.879002876
283	1.878970504
284	1.878951384
285	1.878936039
286	1.878911551
287	1.87889531
288	1.878863763
289	1.878845106
290	1.878811939
291	1.878793685
292	1.878772124
293	1.878739646
294	1.878707687
295	1.878685124
296	1.878667627
297	1.878642914
298	1.878607255
299	1.87859045
300	1.878563238
301	1.878534764
302	1.87852154
303	1.878493629
304	1.87846436
305	1.878442052
306	1.878413125
307	1.878394739
308	1.878379472
309	1.878356814
310	1.87833405
311	1.878305148
312	1.878282297
313	1.878251417
314	1.878228304
315	1.87820022
316	1.878178319
317	1.878154761
318	1.878130712
319	1.878092537
320	1.878059974
321	1.878045181
322	1.878009028
323	1.877983077
324	1.877954076
325	1.87793606
326	1.877915953
327	1.877895228
328	1.877875946
329	1.87784763
330	1.877813875
331	1.877781732
332	1.877751805
333	1.877726957
334	1.877701025
335	1.877672978
336	1.877660048
337	1.877640257
338	1.877614551
339	1.877592276
340	1.877565758
341	1.877530473
342	1.877509069
343	1.877490627
344	1.877457813
345	1.877437828
346	1.8774124
347	1.87738712
348	1.877364676
349	1.877336389
350	1.877306761
351	1.877281276
352	1.877256356
353	1.877229322
354	1.877216911
355	1.877189409
356	1.877161871
357	1.877142322
358	1.877121455
359	1.877093415
360	1.877070218
361	1.877043867
362	1.877026879
363	1.876998299
364	1.876971841
365	1.87695424
366	1.87693017
367	1.876916543
368	1.876902454
369	1.876890462
370	1.876866936
371	1.876847629
372	1.876818732
373	1.876800626
374	1.876773215
375	1.876752957
376	1.876731184
377	1.876706654
378	1.876678379
379	1.876653672
380	1.876633058
381	1.876607858
382	1.876589134
383	1.876564997
384	1.876547534
385	1.876524715
386	1.876497172
387	1.876472693
388	1.876455881
389	1.876430226
390	1.876408999
391	1.876383305
392	1.876359617
393	1.876334239
394	1.87630602
395	1.876276789
396	1.876243745
397	1.876231365
398	1.876214244
399	1.87619055
400	1.876178925
401	1.876161232
402	1.876133936
403	1.87611181
404	1.876088331
405	1.876064123
406	1.876036989
407	1.876015305
408	1.875994097
409	1.875966905
410	1.875944284
411	1.875923057
412	1.8759043
413	1.875875291
414	1.875856146
415	1.87583711
416	1.875802761
417	1.875780944
418	1.875759307
419	1.87572584
420	1.875702811
421	1.875680704
422	1.875664122
423	1.875642493
424	1.875621769
425	1.875601406
426	1.875581582
427	1.875570525
428	1.875541697
429	1.875515542
430	1.875499214
431	1.875478472
432	1.875464686
433	1.875443295
434	1.875431443
435	1.875406242
436	1.875383299
437	1.875360027
438	1.87534009
439	1.875326248
440	1.875304887
441	1.875286884
442	1.875265867
443	1.875244103
444	1.875226764
445	1.875205625
446	1.875189497
447	1.875160971
448	1.875148556
449	1.875125898
450	1.875104781
451	1.875080989
452	1.875065791
453	1.875041753
454	1.875019173
455	1.875001964
456	1.874986333
457	1.874967654
458	1.874947445
459	1.874938555
460	1.874923001
461	1.874905064
462	1.874880448
463	1.87485546
464	1.874840174
465	1.874819673
466	1.874796633
467	1.87478552
468	1.874771035
469	1.87474959
470	1.874736411
471	1.874718456
472	1.874698911
473	1.874679723
474	1.874652335
475	1.874622869
476	1.874603457
477	1.874588208
478	1.87457142
479	1.874556539
480	1.874532378
481	1.874516932
482	1.874494119
483	1.874477379
484	1.874464624
485	1.87444292
486	1.874414536
487	1.874402603
488	1.874389077
489	1.874374664
490	1.874360078
491	1.874342657
492	1.874315512
493	1.87428913
494	1.874276592
495	1.874258834
496	1.874248971
497	1.874237498
498	1.874226142
499	1.874214159
500	1.87418991
501	1.874169279
502	1.874154927
503	1.874140274
504	1.874118744
505	1.874101785
506	1.874084084
507	1.874066922
508	1.874056421
509	1.8740368
510	1.874014241
511	1.87399635
512	1.873976065
513	1.873953861
514	1.873934226
515	1.873911304
516	1.873889673
517	1.873875562
518	1.873864529
519	1.873845641
520	1.873837242
521	1.873813127
522	1.873804332
523	1.873793324
524	1.873777417
525	1.873761224
526	1.873742613
527	1.873726305
528	1.873701763
529	1.873690891
530	1.873669543
531	1.873654565
532	1.87363732
533	1.873623498
534	1.873613641
535	1.873594954
536	1.873582294
537	1.873563644
538	1.873552717
539	1.873534795
540	1.873513524
541	1.873495797
542	1.873480769
543	1.873457453
544	1.873438596
545	1.87342542
546	1.873406203
547	1.873395989
548	1.873376459
549	1.873357767
550	1.873345643
551	1.873332593
552	1.873310919
553	1.873287971
554	1.873261355
555	1.873243308
556	1.873226837
557	1.873210203
558	1.873192574
559	1.873167341
560	1.873154222
561	1.87314047
562	1.873123722
563	1.873112465
564	1.873088129
565	1.873068817
566	1.873053683
567	1.87302741
568	1.873006985
569	1.872998087
570	1.872970508
571	1.872957961
572	1.872940585
573	1.87292518
574	1.872900606
575	1.872876479
576	1.872862469
577	1.872844744
578	1.872830636
579	1.872813238
580	1.872795239
581	1.872776659
582	1.87276099
583	1.872741579
584	1.872727309
585	1.87270904
586	1.872687749
587	1.872676114
588	1.872665917
589	1.872646413
590	1.872633841
591	1.872611454
592	1.872594192
593	1.872573934
594	1.872555047
595	1.872536255
596	1.87251618
597	1.872498698
598	1.872482205
599	1.872468421
600	1.872457294
601	1.872441404
602	1.872433554
603	1.872409016
604	1.872389504
605	1.87236532
606	1.872346773
607	1.872329307
608	1.872314179
609	1.872302153
610	1.872280078
611	1.872263086
612	1.872248865
613	1.872225528
614	1.872210201
615	1.872198489
616	1.872176276
617	1.872156959
618	1.872138934
619	1.872131577
620	1.872123585
621	1.872110963
622	1.872091952
623	1.872072331
624	1.872055438
625	1.872041023
626	1.872024389
627	1.872013903
628	1.871997855
629	1.871969553
630	1.871942778
631	1.871925822
632	1.871915381
