feature,mean_abs_shap
reb_L10,1.0302161
season_avg_reb,0.53591865
reb_ema_L5,0.265952
min_L10,0.088682905
opp_reb_allowed_L10,0.08141272
min_L5,0.06423563
is_home,0.041861143
pts_L5,0.039371535
hot_cold_reb,0.033056717
reb_L5,0.02873298
reb_std_L10,0.027214283
days_rest,0.013597067
