feature,mean_abs_shap
ast_L10,0.7739655
season_avg_ast,0.4592806
ast_ema_L5,0.20407765
opp_ast_allowed_L10,0.09091799
pts_L5,0.033827674
min_L5,0.032454092
ast_L5,0.028158674
is_home,0.025628762
hot_cold_ast,0.016706973
fg_pct_L5,0.012462235
ast_std_L10,0.012333707
min_L10,0.011234074
days_rest,0.010922722
