player_id,game_id,date,season,player_name,opponent_id,min,pts,reb,ast,fga,fgm,trend_pts,trend_reb,trend_ast,min_l10,fga_per_min_l10,proj_volume,pts_std_l10,pts_mean_l10,cv_l10,opp_avg_pts_allowed_l10,opp_avg_reb_allowed_l10,opp_avg_ast_allowed_l10
2544,0022400062,2024-10-22,2024-25,LeBron James,6,34.65,16,5,4,16,7,-0.12433530892826689,-0.10233779052580677,-0.1968776061473419,38.95333333333333,0.5246975291070285,20.43871775048245,4.164666186436201,29.3,0.1421387776940683,106.1,40.3,22.7
201143,0022400061,2024-10-22,2024-25,Al Horford,4,26.083333333333332,11,3,5,7,4,-0.791809267353025,-0.21745491225247238,0.049862036205630934,31.7,0.24125331901057417,7.647730212635201,6.9570108523704395,10.8,0.6441676715157814,112.4,39.2,28.1
201144,0022400062,2024-10-22,2024-25,Mike Conley,5,20.216666666666665,5,4,2,7,1,0.1090446833046193,-0.047624557853643945,-0.09226275571595635,28.0,0.30487631433832413,8.536536801473076,5.445691467165201,10.9,0.4996047217582753,114.5,44.5,28.7
201939,0022400072,2024-10-23,2024-25,Stephen Curry,7,25.066666666666666,17,9,10,10,4,-0.17743547099611098,-0.21139757283123967,-0.2781703091992213,33.57833333333333,0.5168436778053949,17.354749294575484,3.956710193526356,25.9,0.15276873334078594,110.4,44.8,26.4
201950,0022400061,2024-10-22,2024-25,Jrue Holiday,4,30.516666666666666,18,4,4,9,7,-0.4794701420050922,0.12530332325027793,-0.22017795162305728,38.7,0.28694954607610523,11.104947433145274,6.3324560795950395,15.9,0.39826767796195217,112.4,39.2,28.1
203076,0022400062,2024-10-22,2024-25,Anthony Davis,6,37.583333333333336,36,16,4,23,11,0.285714811329869,1.0036766250348939,0.27684981268672876,32.0,0.46277743470959937,14.80887791070718,13.268592824996745,22.5,0.589715236666522,106.1,40.3,22.7
203110,0022400072,2024-10-23,2024-25,Draymond Green,7,20.433333333333334,8,6,3,3,3,0.40409939340874756,-0.019366087613145094,0.4687082774277352,30.17333333333333,0.17814675861974327,5.3752815300863865,5.2068331172711035,7.0,0.7438333024673005,110.4,44.8,26.4
203497,0022400062,2024-10-22,2024-25,Rudy Gobert,5,35.333333333333336,13,14,2,8,5,-0.12334002205310936,-0.38281297113106816,-0.04979651946680684,33.2,0.2051267969371418,6.810209658313108,3.6893239368631248,11.5,0.32081077711853256,114.5,44.5,28.7
203924,0022400072,2024-10-23,2024-25,Jerami Grant,8,33.166666666666664,16,2,3,18,6,0.1932341732902464,0.057710296054489255,-0.1613618926494092,24.583333333333336,0.3304859290171734,8.124445755005514,7.315128919650725,9.8,0.7464417264949719,106.5,40.5,26.4
203937,0022400072,2024-10-23,2024-25,Kyle Anderson,7,14.85,2,5,3,2,1,0.29691384802711845,0.19638627581690488,0.17888400619603137,15.8,0.24742741327300152,3.9093531297134243,3.7357135269658546,4.8,0.7782736514512197,110.4,44.8,26.4
